Strategy Name, Average Pay-off
ZD-Extortion,2.3619909502262444
ZD-Extort-2,2.3619909502262444
ZD-Extort3,2.3755656108597285
ZD-Extort-2 v2,2.3755656108597285
ZD-Extort-4,2.3755656108597285
ZD-GTFT-2,2.321266968325792
ZD-GEN-2,2.3619909502262444
ZD-Mem2,2.3755656108597285
ZD-Mischief,2.3755656108597285
ZD-SET-2,2.3484162895927603
$e$,2.3891402714932126
Dynamic Two Tits For Tat,2.3891402714932126
Meta Hunter,2.334841628959276
Meta Hunter Aggressive,2.3755656108597285
Meta Majority,2.3755656108597285
Meta Majority Memory One,2.3484162895927603
Meta Majority Finite Memory,2.3755656108597285
Meta Majority Long Memory,2.3891402714932126
Meta Minority,4.167420814479638
Meta Mixer,2.6877828054298645
Meta Winner,2.3619909502262444
Meta Winner Deterministic,2.3484162895927603
Meta Winner Ensemble,2.3891402714932126
Meta Winner Memory One,2.3484162895927603
Meta Winner Finite Memory,2.321266968325792
Meta Winner Long Memory,2.321266968325792
Meta Winner Stochastic,2.3755656108597285
NMWE Deterministic,2.3484162895927603
NMWE Finite Memory,2.3755656108597285
NMWE Long Memory,2.3891402714932126
NMWE Memory One,2.3484162895927603
NMWE Stochastic,2.3755656108597285
Nice Meta Winner,2.3076923076923075
Nice Meta Winner Ensemble,2.3484162895927603
