Strategy Name, Average Pay-off
ZD-Extortion,2.3891402714932126
ZD-Extort-2,2.3484162895927603
ZD-Extort3,2.3484162895927603
ZD-Extort-2 v2,2.3891402714932126
ZD-Extort-4,2.3484162895927603
ZD-GTFT-2,2.3755656108597285
ZD-GEN-2,2.3755656108597285
ZD-Mem2,2.334841628959276
ZD-Mischief,2.334841628959276
ZD-SET-2,2.3891402714932126
$e$,2.3619909502262444
Dynamic Two Tits For Tat,2.3484162895927603
Meta Hunter,2.3619909502262444
Meta Hunter Aggressive,2.3891402714932126
Meta Majority,2.3619909502262444
Meta Majority Memory One,2.334841628959276
Meta Majority Finite Memory,2.3755656108597285
Meta Majority Long Memory,2.3891402714932126
Meta Minority,4.203619909502263
Meta Mixer,2.6425339366515836
Meta Winner,2.3076923076923075
Meta Winner Deterministic,2.3755656108597285
Meta Winner Ensemble,2.3619909502262444
Meta Winner Memory One,2.3755656108597285
Meta Winner Finite Memory,2.3891402714932126
Meta Winner Long Memory,2.334841628959276
Meta Winner Stochastic,2.3755656108597285
NMWE Deterministic,2.3755656108597285
NMWE Finite Memory,2.3891402714932126
NMWE Long Memory,2.334841628959276
NMWE Memory One,2.3755656108597285
NMWE Stochastic,2.3484162895927603
Nice Meta Winner,2.3755656108597285
Nice Meta Winner Ensemble,2.3891402714932126
