Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
18,EvolvedLookerUp1_1_1,2.6957727656032215,0.7338940625389098,28.0,1.0,0.6683405537048872,0.06630631796916121,0.12019269995762316,0.1451604283683284,0.9797787973965664,0,0.7905662821510936,0
19,NMWE Long Memory: 114 players,2.6944952355284517,0.6935256316509382,36.0,1.0,0.6527609656702694,0.0428081644236167,0.11925719487579742,0.18517367503031645,0.9778688672852439,0.18284450982739475,0.03869552300353209,0.10809878978589842
20,Spiteful Tit For Tat,2.692906234617473,0.7612281180415592,19.5,1.0,0.6943633731009566,0.06773326110732163,0.10765089500178156,0.13025247078994007,1.0,0,0.8157416856279117,0
21,"Limited Retaliate 3: 0.05, 20",2.6928500402871602,0.6945924866761991,35.5,1.0,0.6559082680779902,0.03838529309860081,0.11567825351465218,0.19002818530875684,0.9862179483201224,0,0.022904963902456582,0.02125863549831969
22,Forgiver,2.6917323496548278,0.7038582988389921,36.0,1.0,0.664695243074542,0.037217728235396486,0.10839240237585977,0.1896946263142018,1.0,0.3078321132965672,0.057982112776864866,0
23,Retaliate 3: 0.05,2.6914422722047835,0.6933400494951928,35.5,1.0,0.6572594324028135,0.03600492579894066,0.11486595441625146,0.19186968738199434,1.0,0,0.01250526878110267,0
24,Evolved FSM 16 Noise 05,2.6914038572767023,0.785027523254652,20.0,1.0,0.7253821256767348,0.06061671849932649,0.09513072557724687,0.11887043024669183,0.9763428536143843,0.462776886015022,0.48470015861041327,0.10870109956071419
25,RichardHufford,2.690310846401079,0.7670930706789866,28.0,1.0,0.6931657907106055,0.07533673570161381,0.10691619367137478,0.12458127991640594,0.9788809433038774,0.4534892036582783,0.8439871771758579,0.09002669371201126
26,NMWE Finite Memory: 86 players,2.6900758210121474,0.6936247832839314,36.0,1.0,0.6514302036258841,0.0415108421258707,0.12052316581315253,0.18653578843509264,0.985923040820355,0.09940502970054425,0.04188265621161522,0.11371126266817427
27,Meta Winner: 8 players,2.6889498563462273,0.7089659623082492,33.0,1.0,0.6572722909225419,0.05219681232389613,0.12098782432986184,0.1695430724237001,0.9789192638103428,0.1602117264910008,0.13465089467051303,0.12377413727960408
28,Nice Meta Winner Ensemble: 200 players,2.6885311155467884,0.701707215773712,34.5,1.0,0.6553420085244644,0.04301230998801642,0.11779453415347713,0.18385114733404193,0.9791798526725821,0.1742806160501547,0.02504680428274646,0.11762518617220344
29,"Limited Retaliate 2: 0.08, 15",2.6873989825723106,0.700567101198754,37.0,1.0,0.661037421160747,0.04116374129948812,0.11008680466835982,0.18771203287140514,0.9914821324091863,0,0.03788217886289862,0.03588486562886306
30,Retaliate: 0.1,2.6859382382926076,0.7035250120175875,36.0,1.0,0.6665702660311332,0.03770636663904799,0.10457599957574688,0.1911473677540719,1.0,0,0.04392807825582367,0
31,NMWE Stochastic: 62 players,2.6858060785284295,0.6961723322778461,35.0,1.0,0.6550277453793804,0.042967374737125426,0.11683963287609206,0.1851652470074021,0.975112933248824,0.22948888917339824,0.031307820383803815,0.1156705437545236
32,Retaliate 2: 0.08,2.684922905271185,0.6978365551167464,37.0,1.0,0.6593482212354316,0.03677336249837403,0.10929242493207868,0.19458599133411567,1.0,0,0.027798067823494896,0
33,Cycler DDC,2.684109503226998,0.29831263647793194,139.0,0.0,0.08699750201182965,0.21099263518278774,0.3281744249585684,0.37383543784681417,0,0,0.407610195378802,0.6414604586368113
34,Forgetful Grudger,2.6824438599504754,0.7062058301009039,37.0,1.0,0.6699021781831324,0.03819222447937407,0.10133663561426336,0.1905689617232301,1.0,0,0.06560344041634768,0
35,Aggravater,2.682276700876675,0.10302466101436855,212.0,0.0,0.0997633085079138,0.005597904897786677,0.2611767755228673,0.6334620110714322,1.0,0,0.15675947871146223,0
36,"Limited Retaliate: 0.1, 20",2.68221527004704,0.7102026962341494,36.0,1.0,0.6664558001467429,0.040421232211303657,0.10523601224756718,0.18788695539438627,0.9994445727826257,0,0.04562549372377544,0.01662942169780936
37,NMWE Deterministic: 138 players,2.681711371427591,0.6964170788260291,35.0,1.0,0.6535215192219367,0.04239507600159839,0.11888255098481779,0.18520085379164714,0.9825865655335635,0.10029370942470835,0.028050140505498956,0.107285892009987
38,Punisher,2.679308992335867,0.7093659772938087,36.0,1.0,0.664565635151536,0.03997274388357392,0.10498516183346758,0.19047645913142242,1.0,0,0.10865251598956932,0
39,"Michaelos: (D,)",2.6768738721930667,0.7281661557062049,24.0,1.0,0.6863597343074859,0.046128939587094984,0.09832248167762186,0.16918884442779727,1.0,0,0.2614806014156621,0
40,Suspicious Tit For Tat,2.6759731259650446,0.49396010613557534,128.0,0.0,0.33889292726807924,0.15806466381063794,0.21552107260868464,0.28752133631259813,1.0,0,1.0,0
41,Meta Winner Stochastic: 62 players,2.6663074885731426,0.10248370219927894,181.0,1.0,0.08366492570700734,0.019642199112839105,0.32147090075418006,0.5752219744259736,0.011237373737373737,0.28950216450216454,0.005146976345048539,0.007060365095405796
42,Meta Winner Ensemble: 200 players,2.664144028320842,0.14282589293526765,161.0,0.9999130434782608,0.09176589608345177,0.05199061593525293,0.3260715409652416,0.5301719470160536,0.01455499864725988,0.1669627633789804,0.014329523254723468,0.10103116860897307
43,Inverse Punisher,2.6634572454258647,0.7222227101080179,30.0,1.0,0.6809591632275358,0.04329830212824602,0.09407724785821378,0.18166528678600447,1.0,0,0.2278645313555886,0
44,EvolvedLookerUp2_2_2,2.6626294456349457,0.8086930104376885,22.0,1.0,0.7187021222325386,0.09156108605957684,0.1026757401735304,0.08706105153435427,0.9103074966758866,0.49841066829671005,0.5819098718810813,0.7755662704940948
45,Adaptive Pavlov 2006,2.6619575378736204,0.7729672279462788,24.0,1.0,0.7113461492115567,0.06036036882682618,0.08412478851687584,0.1441686934447414,0.9768476908142416,0.13102428127135685,0.547013798328935,0.07407522967777597
46,Meta Winner Finite Memory: 86 players,2.660842351833714,0.10079540723535728,182.0,1.0,0.08365130023118052,0.01809697628244389,0.3209682369496859,0.5772834865366896,0,0,0,0
47,Meta Winner: 200 players,2.659478925741959,0.10018119729597881,181.0,1.0,0.08305535518255479,0.018050512296581122,0.3200674181327895,0.5788267143880746,0,0,0,0
48,Meta Winner Long Memory: 114 players,2.658947155195823,0.10014935316580814,183.0,1.0,0.08294256623890783,0.018119236466113967,0.318769815085073,0.5801683822099052,0,0,0,0
49,Evolved HMM 5,2.6583421147012745,0.8052709916500439,21.0,1.0,0.7292598509480583,0.07511242338662547,0.0930821143232637,0.10254561134205252,0.9992676445963804,0.4485815058773686,0.0197611119027893,0.1853591030950928
50,"Omega TFT: 3, 8",2.6579489725584455,0.8165567879883316,8.0,1.0,0.7533176972513603,0.06375777213499456,0.06650780979584875,0.11641672081779629,0.999866383299744,0.16019684202347764,0.7678071528075883,0.06139509079890625
51,Meta Winner Memory One: 35 players,2.6573997535079363,0.10013365666345948,181.0,1.0,0.08348764149110346,0.01767016839712032,0.31885197809209187,0.5799902120196844,0,0,0,0
52,Evolved FSM 4,2.6567747502905945,0.8149226371036379,22.0,1.0,0.708898525350938,0.10928500442589813,0.10367722931679178,0.07813924090637205,0.9521302549196113,0.3581157893966283,0,0.8374101040418694
53,Winner12,2.6558649695045524,0.7891300465618698,18.0,1.0,0.7196962421185894,0.06704830664504832,0.0929371090434242,0.12031834219293816,1.0,0.5176589464740206,0,0.5379935664594472
