Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"DBS: 0.75, 3, 4, 3, 5",2.461304347826088,0.4051932608695652,120.0,0.9508695652173913,0.3225050000000002,0.0826882608695652,0.22459304347826087,0.3702136956521738,0.8259999897429512,0.5115206299514513,0.2872746255474368,0.23601162362667086
1,Evolved ANN 5 Noise 05,2.446065217391304,0.539373695652174,87.0,0.9506521739130435,0.45044739130434763,0.08892630434782613,0.15844913043478265,0.30217717391304366,0.8361138231366955,0.7389841512628973,0.4423871778992855,0.17143617316035553
2,RichardHufford,2.4003804347826083,0.4021086956521739,119.5,0.95,0.2999736956521739,0.10213499999999996,0.22536304347826083,0.37252826086956525,0.815035386661573,0.1546549911348313,0.6637482178679912,0.0815095241296977
3,Evolved FSM 16 Noise 05,2.3958369565217392,0.4434008695652174,102.0,0.9474347826086956,0.34273326086956535,0.10066760869565222,0.2025491304347825,0.35405,0.8550087096970542,0.48891553208029265,0.4142719748970173,0.09504073675762732
4,Mikkelson,2.316347826086956,0.5725345652173913,85.0,0.9514347826086956,0.48201869565217403,0.09051586956521737,0.1103230434782608,0.3171423913043478,0.8946251929305323,0.6760560700994153,0.5137073660795021,0.32472544043901164
5,Level Punisher,2.308010869565217,0.47150478260869566,114.0,0.9500434782608695,0.3974860869565218,0.07401869565217391,0.14724521739130433,0.38125,0.8504275614614902,0.6450949057184149,0.36105316151708244,0.1367853886259374
6,"DoubleCrosser: (D, D)",2.3027499999999996,0.3515026086956522,146.0,0.9496521739130435,0.2787995652173913,0.07270304347826088,0.20396652173913046,0.44453086956521737,0.8189947191093416,0.5056727872889265,0.2620710746231667,0.058311112068582506
7,Borufsen,2.2960760869565213,0.5422291304347826,104.0,0.9513478260869566,0.41642217391304354,0.12580695652173912,0.14714434782608693,0.31062652173913047,0.9123519956200818,0.13250833274913743,0.6737643822642971,0.1449095167660737
8,"Omega TFT: 3, 8",2.2810000000000006,0.39404739130434785,163.5,0.949695652173913,0.32427739130434785,0.06976999999999998,0.17545326086956528,0.43049934782608684,0.8393445096282823,0.11245756662629161,0.47786225125550175,0.057145977290267054
9,White,2.2774239130434784,0.6779365217391304,18.0,0.9504347826086956,0.5356254347826086,0.14231108695652175,0.0873982608695652,0.23466521739130433,0.9498523740639339,0.6164851244233645,0.9503585887658024,0.3644425715905402
10,PSO Gambler 2_2_2 Noise 05,2.2757065217391306,0.45677478260869564,106.0,0.948,0.3066104347826086,0.15016434782608698,0.2039589130434781,0.33926630434782623,0.6207587548579001,0.4737129073719788,0.5972636538019019,0.29112946277437474
11,Cave,2.262771739130433,0.5313873913043479,101.0,0.9487391304347826,0.42316478260869583,0.10822260869565212,0.13079282608695655,0.3378197826086956,0.9085623890045745,0.32683419225511495,0.6097637976643536,0.15526089298591603
12,Yamachi,2.2575326086956524,0.597738695652174,69.0,0.9518695652173913,0.48188891304347803,0.11584978260869565,0.10220760869565221,0.30005369565217405,0.8428713897472164,0.6300228493583614,0.5827742125279493,0.3600652810378529
13,Evolved ANN 5,2.2529891304347824,0.2307241304347826,176.0,0.949391304347826,0.18153717391304355,0.049186956521739156,0.23509456521739133,0.5341813043478261,0.7909602160348761,0.331924698828921,0.14960278063828017,0.05166706701203573
14,Tranquilizer,2.252967391304348,0.5785245652173913,63.0,0.9459130434782609,0.4366471739130434,0.14187739130434787,0.13061065217391302,0.29086478260869575,0.8631487080351264,0.43690472928228097,0.8724939264732261,0.34590758957202616
15,"Stalker: (D,)",2.2482065217391303,0.6091017391304347,57.5,0.9499130434782609,0.466004347826087,0.1430973913043478,0.11443195652173914,0.2764663043478261,0.9004772485770273,0.7238119454705761,0.4691725765363677,0.20461107210674975
16,"Grumpy: Nice, 10, -10",2.2467173913043483,0.7349073913043478,36.0,0.9501739130434783,0.5613913043478261,0.17351608695652176,0.07449652173913043,0.19059608695652178,0.9125742773256778,0.8821225260857776,0.6357247480274218,0.5524560311914187
17,Kluepfel,2.24004347826087,0.4856317391304348,107.0,0.948304347826087,0.3720165217391303,0.11361521739130434,0.15259804347826098,0.3617702173913043,0.8796273085921779,0.3078689377221517,0.6737996403770469,0.11362176332388195
18,VeryBad,2.2376739130434786,0.6660621739130435,58.0,0.9481739130434783,0.5278969565217391,0.13816521739130433,0.07964413043478258,0.254293695652174,0.8963774830500053,0.7698759556610629,0.6063592499560767,0.3057851829761582
19,Doubler,2.2370326086956522,0.6517089130434782,30.0,0.9478695652173913,0.5074258695652174,0.1442830434782609,0.09164434782608692,0.25664673913043484,0.9498742095195345,0.5309432499903021,0.9498926620283239,0.21681750465335323
20,Evolved FSM 4,2.231184782608696,0.5466410869565217,84.0,0.9512608695652174,0.27904347826086956,0.26759760869565224,0.23533695652173917,0.21802195652173906,0.759897435561624,0.4120031177163768,0.15046269339859608,0.6988260461342171
21,Gradual,2.2303369565217395,0.46000760869565216,120.0,0.9534347826086956,0.33016130434782626,0.1298463043478261,0.17455956521739135,0.3654328260869563,0.9117265649506034,0.33459431076093593,0.2752598654508238,0.17529193899381895
22,Spiteful Tit For Tat,2.2289021739130437,0.23019760869565217,197.0,0.949,0.1782852173913044,0.05191239130434786,0.2306232608695652,0.5391791304347826,0.7704064892264534,0.049907628895494646,0.23148542148296866,0.0500492559125311
