Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.865804347826087,0.7339376086956522,52.0,1.0,0.6607589130434784,0.07317869565217394,0.15398391304347817,0.11207847826086956,0.8598915236394505,0.44067899377131053,0.5211557312691749,0.798049146284675
1,Evolved HMM 5,2.860010869565218,0.7416897826086957,47.0,1.0,0.6927850000000001,0.04890478260869567,0.1307908695652174,0.12751934782608693,0.9975218152644422,0.4758007094800699,0.015494258596739675,0.20419810752497114
2,PSO Gambler 2_2_2,2.8431195652173917,0.691546304347826,47.0,1.0,0.6199004347826087,0.0716458695652174,0.1684919565217391,0.13996173913043491,0.8734059396813822,0.4113066472889126,0.5060474987721966,0.39875679002973136
3,Evolved FSM 16,2.8411630434782618,0.7121860869565217,65.0,1.0,0.6197608695652173,0.0924252173913044,0.17318695652173915,0.11462695652173918,0.8331336422581817,0.5729381988860991,0.4754930623366879,0.37012195980130197
4,Evolved FSM 16 Noise 05,2.8367282608695654,0.7153589130434782,45.0,1.0,0.6939743478260868,0.021384565217391283,0.11757565217391308,0.1670654347826087,0.9821152511805272,0.5667253520634237,0.3898414501832074,0.07411260026079552
5,Evolved ANN 5,2.8325434782608707,0.6997267391304348,49.0,1.0,0.6862713043478262,0.013455434782608681,0.11826826086956514,0.1820049999999999,0.9647104971688623,0.7370519433135285,0.15908636302117454,0
6,Evolved ANN,2.826576086956522,0.6933145652173913,48.0,1.0,0.6794519565217391,0.013862608695652165,0.12016565217391309,0.1865197826086957,0.9786619520802612,0.7231458550574629,0.33812739502333156,0
7,PSO Gambler 1_1_1,2.8233369565217394,0.7008430434782609,52.0,1.0,0.6672071739130434,0.033635869565217386,0.13100739130434785,0.16814956521739144,1.0,0.3026346364083136,0,0.1293952757496692
8,PSO Gambler Mem1,2.817717391304348,0.7278771739130435,49.0,1.0,0.6867330434782609,0.0411441304347826,0.12151913043478262,0.15060369565217382,1.0,0.5239569859173303,0,0.12232902932991065
9,Evolved FSM 4,2.8111304347826094,0.7736528260869565,40.0,1.0,0.6705930434782608,0.1030597826086957,0.14315913043478273,0.08318804347826095,0.9368849792971133,0.44021067335526726,0,0.7877651418702433
10,Evolved ANN 5 Noise 05,2.7986956521739144,0.7550254347826088,36.0,1.0,0.7248671739130434,0.0301582608695652,0.09482826086956525,0.15014630434782608,0.9814031190883268,0.8625277388417135,0.4828681704487741,0.1855914229184232
11,"DBS: 0.75, 3, 4, 3, 5",2.7923152173913057,0.7371328260869565,35.0,1.0,0.710269347826087,0.026863478260869555,0.09964934782608698,0.16321782608695654,0.9849556529715321,0.7971634278469556,0.2822556673914749,0.16499697598353777
12,"Omega TFT: 3, 8",2.7824347826086955,0.7216252173913044,40.0,1.0,0.7102654347826085,0.011359782608695652,0.09348282608695657,0.18489195652173915,0.999791970820091,0.1864398743708959,0.579388389146787,0.0095384427418155
13,Winner12,2.7741195652173913,0.6823804347826087,48.0,1.0,0.6449217391304348,0.03745869565217391,0.1302758695652174,0.18734369565217396,1.0,0.39236883544240353,0,0.4843180656263091
14,"DoubleCrosser: (D, D)",2.772532608695652,0.6758389130434782,178.0,1.0,0.660185217391304,0.01565369565217392,0.11698978260869577,0.20717130434782635,0.9963544060132447,0.8031160367677391,0.27687696800050204,0
15,PSO Gambler 2_2_2 Noise 05,2.7661413043478262,0.7208315217391305,45.0,1.0,0.6640558695652173,0.05677565217391302,0.12375239130434786,0.15541608695652168,0.8538842480155985,0.5002902362285272,0.7067888439235979,0.32651533523012705
